method	tic	toc	time	mem	ari	ari_vec	nmi	nmi_vec
atlasClustering	1715452172.399512	1715452318.680239	2.438012115160624	11038.100000000002	0.44918303131306525	0.518656698488564,0.465844864018252,0.414119373797854,0.427069063047875,0.328133489696243,0.335540498614328,0.388251841652165,0.486475718109674,0.488048844607554,0.483314717270231,0.536557559653972,0.51818370680007	0.5548710194197958	0.625413503423718,0.592246890372237,0.516693344692258,0.520733918203525,0.448472532087696,0.421199839414644,0.481684958395143,0.543826669677787,0.634421546813771,0.59731092059205,0.648264924683293,0.628183184681425
PRECAST	1715452324.971673	1715453658.153546	22.219697884718578	10497.900000000001	0.3385613522272856	0.335590449519923,0.322125636093597,0.283846853629147,0.300490205801261,0.189832099832328,0.195504821880628,0.309837018434148,0.379043243548692,0.418921944328993,0.429798353704038,0.477116457227368,0.420629142727303	0.44692164919815797	0.453382825115972,0.432355571838587,0.419355998506406,0.413232318491041,0.358039360530646,0.342419740586446,0.476242881697909,0.51018332071058,0.475468626647064,0.489414348263319,0.508881278740455,0.484083519249473
Seurat	1715453663.708611	1715454437.11208	12.89005781809489	23258.600000000002	0.38183067859021513	0.33535143187116,0.341035295050567,0.340265959464778,0.364195647068959,0.389677118458869,0.367066112958821,0.461661429165913,0.435216420399293,0.446443939467693,0.370608198305925,0.376644155185116,0.35380243568549	0.3617828173089729	0.331626621365294,0.318887917682296,0.342653606263614,0.363364479740479,0.336096938017973,0.333670297258728,0.362520818174213,0.344803901291689,0.437608551917941,0.386322559730834,0.407535644935111,0.376302471329501
BayesSpace	1715556145.543155	1715559606.311772	57.6794769525528	22367.5	0.36499816609667246	0.463217758952617,0.480804687996952,0.366013165970175,0.338400560521549,0.268863901622665,0.281210756414424,0.389681890304298,0.373454432892961,0.370439800480515,0.356327558419996,0.335610531863362,0.355952947720558	0.5062403207212031	0.590197104280822,0.60256411583817,0.565666185221542,0.530165255680512,0.364081267795703,0.350461512441297,0.475111219448018,0.46175903751079,0.539776223682114,0.533611659374728,0.51729817342858,0.544192093952161
BASS	1715561386.192977	1715580854.829687	5.407954641713037	36719.7	0.5071345614994942	0.500794754344244,0.504397637696606,0.47993025064913,0.506490944824751,0.386680781828675,0.354913752126721,0.516068885209313,0.526561811351303,0.578610042476815,0.583170597714452,0.582826904449476,0.565168375322444	0.6071806036979747	0.624935679073187,0.625384914472793,0.615746907300011,0.605259886831711,0.488678480594812,0.440354301681981,0.557486400738746,0.563071674817316,0.689161977197018,0.701202070168863,0.690165412262378,0.684719539236881
